EwE_num,EwE_name,Adj_notes,N_spp,N_hspn,Pelagic,DepthMin,DepthPrefMin,DepthPrefMax,DepthMax,TempMin,TempPrefMin,TempPrefMax,TempMax,SalinityMin,SalinityPrefMin,SalinityPrefMax,SalinityMax,PrimProdMin,PrimProdPrefMin,PrimProdPrefMax,OxyMin,OxyPrefMin,OxyPrefMax,OxyMax,LandDistMin,LandDistPrefMin,LandDistPrefMax,LandDistMax,NMostLat,SMostLat,WMostLong,EMostLong
33,Deep-water grouper,,3,3,0,38,94,223,483,15.8,23.4,28.2,32.4,25.5,33.1,36.4,38.2,-0.6,0.4,22.8,105.9,159.2,251,281.6,2,15,205,392,39.7,-21.3,-98,-42.3
34,Shallow-water grouper,,10,10,0,1,17,55,134,19.9,24.1,28,32.2,24,34,36.6,37.7,-0.7,0.3,15.4,111.5,159.1,235.5,274.9,1,13,147,382,37.1,-15.1,-88.5,-26.7
35,Red snapper (0yr),"Broken in to groups based on expert opinion. Fishbase: Marine; reef-associated; depth range 10 - 190 m (Ref. 55), usually 30 - 130 m (Ref. 55). https://www.fishbase.se/summary/SpeciesSummary.php?ID=1423&AT=red+snapper",1,1,0,0,5,15,40,11.9,23,27.6,31.8,18.9,30.6,36.2,39.5,-0.4,0.6,20.3,137.4,163.1,224.1,286.2,1,11,160,270,43,-4,-100,-40
36,Red snapper (1-2yr),,1,1,0,0,15,40,80,11.9,23,27.6,31.8,18.9,30.6,36.2,39.5,-0.4,0.6,20.3,137.4,163.1,224.1,286.2,1,11,160,270,43,-4,-100,-40
37,Red snapper (3+yr),,1,1,0,10,30,80,160,11.9,23,27.6,31.8,18.9,30.6,36.2,39.5,-0.4,0.6,20.3,137.4,163.1,224.1,286.2,1,11,160,270,43,-4,-100,-40
38,Vermilion snapper,"depth range 40 - 300 m (Ref. 9626), usually 40 - 100 m (Ref. 9626). https://www.fishbase.se/summary/SpeciesSummary.php?ID=213&AT=vermillion+snapper",1,1,0,20,50,100,300,11.6,23,28.2,32.4,21.6,33.2,36.2,38.3,-0.5,0.5,19.7,122.5,161.9,241,272.3,0,15,203,405,42,-33,-99,-30
39,Mutton snapper,,1,1,0,25,40,70,95,11.9,23.5,28.2,32.4,19,34.1,36.5,38,-0.7,0.3,19.5,136.4,166,223.8,286.2,1,9,104,472,42,-28,-98,-31
40,Other snapper,,10,10,0,0,5,127,228,17,25.1,28.2,32.4,22.4,33,36.3,37.9,-0.7,0.3,17.5,134.2,162.5,240.2,274.2,2,13,164,411,38.1,-11.7,-85.7,-39.3
41,Inshore coastal piscivores,,4,6,0.17,0,0,30,109,11.9,15.1,24.1,27.6,24.8,30,36.4,37.4,4.2,7.8,61.7,65.8,111.9,244.5,309.2,1,6,86,222,23,-20.1,3.3,74.3
42,Sea trout,Opinion,7,7,0,0,0,5,20,13.7,18.2,25.8,29.7,20.2,28.5,36.1,38.1,0.5,2.9,31.1,124.3,170,245.2,282,0,7,127,296,27,-1.4,-90.1,-64.4
43,Oceanic piscivores,,24,32,0.44,40,214,451,825,7.2,14.4,24.8,30.3,24.5,33,36.1,38.1,0.1,1.6,23.6,35.1,126.4,240.4,319.2,3,26,572,1320,45.4,-41,-107.8,112
44,Benthic piscivores,,35,62,0,6,57,164,369,13.1,19.2,25.8,30.1,22.5,31.1,35.6,38,0.5,2.5,27.7,69.5,133.4,241.3,297.8,1,11,176,460,36.7,-2.2,-69.8,-26
45,Reef piscivores,,19,19,0,3,23,65,158,18.5,24,27.6,31.6,24.5,33.5,36.4,38.2,-0.5,0.6,15.8,99.2,161.1,238.8,269.7,2,13,162,541,37.1,-8.9,-91.2,-25.1
46,Reef invertebrate feeders,,120,157,0.01,3,25,70,142,17.7,22.5,27.3,31.6,24.1,33.1,36.3,38,-0.2,1.3,20.9,105.6,153.3,231.1,279.3,2,14,150,424,34.9,-15.7,-79.3,-25.2
47,Demersal coastal invertebrate feeders,Opinion,100,127,0,0,0,10,59,13.6,19.2,26.1,30.2,20.8,30.9,36.1,38.1,1.1,3.7,34.8,94.4,149.9,237.5,290.7,1,7,126,428,34.5,-15.9,-80.7,-20.2
48,Red drum,Opinion,1,1,0,0,0,5,50,13.5,16.3,25.9,30.1,18.9,24.2,36.2,36.7,0.5,1.7,40.6,147.5,207.9,244.3,269.9,0,3,89,182,43,0,NA,NA
49,Benthic coastal invertebrate feeders,Opinion,116,210,0.03,0,0,10,40,11.6,16.8,23.4,28.4,19.6,30.1,35.8,38,0.6,2.5,25.3,88.2,160.4,254.5,312.1,2,12,193,484,43,2,-58.4,-7.7
50,Tilefish,,6,6,0,49,81,150,277,15.7,21.5,27.8,32,27.8,32.5,35.9,38,-0.2,0.8,19.9,105.4,149.6,241.8,288.7,4,16,227,408,37.4,1.2,-98,-61.7
51,Gray triggerfish,,1,1,0,5,10,55,100,2.7,12.8,27.9,32.1,16.2,31.7,36.5,39.2,-0.4,0.6,25.1,8.5,165,268.9,358.8,0,9,447,1194,58,-37,-98,36
52,Coastal omnivores,,27,37,0,0,0,41,88,14.7,23,28.2,32.4,23.1,32.9,36.1,38.3,-0.3,1,19.3,65.6,141.8,233.6,290.8,1,17,356,923,40.8,-24,-95.7,2.9
53,Reef omnivores,,40,40,0.03,7,15,43,97,18.4,23.8,27.9,32,25.2,33.4,36.3,37.7,-0.1,0.9,17.9,109.9,157.3,235.4,276.4,1,11,156,442,34.9,-13.1,-93.2,-20
54,Surface pelagics,,19,20,0.37,0,14,56,120,12.8,21.6,27.4,31.9,23.2,33,36.1,38.1,-0.3,0.7,20.3,49.5,132.4,247.1,313.4,4,19,495,1395,45.8,-19.1,-58.1,-23.3
55,Large oceanic planktivores,,5,7,0.73,56,76,309,666,9,16.8,26.1,31.4,20.8,32.5,36.6,39.1,0.5,1.9,27.1,6.1,130.2,256.8,343,2,13,600,1468,52.4,-47.6,-95,114.6
57,Sardine-herring-scad,,44,51,0.07,0,28,84,175,13,19,25.9,30.4,21.4,29.7,35.8,38.2,0.8,2.7,30.8,69.8,145,242.8,305.5,1,9,209,580,39,-13.6,-59.4,22.3
58,Menhaden (0yr),"Gulf menhaden. Brevoortia patronus. Marine; pelagic-neritic; depth range 0 - 50 m (Ref. 188). Occur inshore in summer, but at least some moving into deeper waters from October (Mississippi Delta area). Feed in dense schools, filtering phytoplankton, but probably also feed at the bottom. Apparently breed in winter (October to February, with a peak in January). Salinity tolerance range from 0.1-60 ppt, but the commercial catch is mostly from 5.0-24 ppt. Make inshore-offshore movements (Ref. 34923). Larvae stay in offshore waters for 3-5 weeks before moving into estuaries where they grow into adults (Ref. 34923). ",4,4,0,0,10,20,30,17.3,19.4,25.9,29.8,22.4,28.5,36.1,36.8,1,2.5,33.5,156,197.7,244.4,271.7,0,3,68,198,36,22.3,-91.8,-76.5
59,Menhaden (1yr),Staged based otonogetic shift,4,4,0,0,15,30,50,17.3,19.4,25.9,29.8,22.4,28.5,36.1,36.8,1,2.5,33.5,156,197.7,244.4,271.7,0,3,68,198,36,22.3,-91.8,-76.5
60,Menhaden (2yr),,4,4,0,0,20,30,40,17.3,19.4,25.9,29.8,22.4,28.5,36.1,36.8,1,2.5,33.5,156,197.7,244.4,271.7,0,3,68,198,36,22.3,-91.8,-76.5
61,Menhaden (3yr),,4,4,0,0,25,35,45,17.3,19.4,25.9,29.8,22.4,28.5,36.1,36.8,1,2.5,33.5,156,197.7,244.4,271.7,0,3,68,198,36,22.3,-91.8,-76.5
62,Menhaden (4yr),,4,4,0,0,30,40,50,17.3,19.4,25.9,29.8,22.4,28.5,36.1,36.8,1,2.5,33.5,156,197.7,244.4,271.7,0,3,68,198,36,22.3,-91.8,-76.5
63,Anchovy-silverside-killifish,,28,29,0.04,0,5,42,79,12.6,17.5,26.1,30.4,20.6,28.6,36.2,37.7,0.5,2.8,34.4,126.7,174.7,250.8,287.3,0,5,80,263,32.6,-4.7,-71.3,-56
64,Mullet,,5,5,0,0,12,52,182,9.7,18.8,26.8,30.9,15.6,31.8,36.6,39.1,-0.2,0.9,29,30.5,129.1,243.1,321.4,0,6,108,481,48.6,-27,-78.4,25.4
65,Butterfish,,4,4,0,9,54,96,141,12.3,18.6,26.5,31.3,19.8,27.7,35.2,36.6,0.6,2.9,47.6,70.2,96.9,249.1,263.5,1,8,126,300,38.3,1,-113.5,-91.5
66,Cephalopod,,25,25,0.12,1,214,551,1317,6.3,14.8,27,31.6,16.1,31.6,37.1,38.8,-0.2,1.1,26.4,37.6,134.2,260.2,351.5,3,14,356,1216,56,-22.7,-63.4,63.4
67,Pink shrimp,"Adjusted. Starts 0 to account for juvs in estuary. Occurs offshore Costello et al 1986 ; at depths of 4 – 48 m, but adults are found as deep as 137 m",1,1,0,-4,4,48,137,16,22.4,28,32.2,22.1,32.6,36.2,38.1,-0.5,0.5,18.8,145.5,177.2,227.4,268.9,0,8,153,385,39,8,-98,-60
68,Brown shrimp,"Adjusted. Found throughout the Gulf of Mexico, but they’re abundant from AL->Mexico (north-western Gulf of Mexico), at depths of 4–160 m, with highest densities at 27–54 m. From sealifebase: Penaeus aztecus - Benthic; depth range 0 - 200 m (Ref. 356), usually 27 - 54 m (Ref. 8).  https://www.sealifebase.ca/summary/Penaeus-subtilis.html",1,1,0,-27,27,54,160,12.2,17.6,28.1,32.3,19,28.5,36.1,36.6,-0.2,0.8,33.3,126.6,178.6,243.4,277,0,8,149,385,42,-36,-98,-34
69,White shrimp,"Found throughout the Gulf of Mexico, but they’re most abundance from AL->Mexico (north-western Gulf of Mexico), at depths of 8 – 55 m, with highest densities at 11 – 36 m (shallower depths than brown shrimp).
Live in mud, silt, and sandy bottoms.",1,1,0,-8,8,36,55,14.6,16.4,27,31.2,19,26.5,36.2,36.7,0.2,1.4,31.6,145.7,200.5,248.7,269.7,1,4,118,478,40,18,-97,-74
70,Crab,"Based on blue crab Callinectes apidus. Benthopelagic; freshwater; brackish; depth range 0 - 90 m (Ref. 109245), usually 0 - 35 m (Ref. 367). https://www.sealifebase.ca/summary/Callinectes-sapidus.html",4,4,0,0,0,35,90,14,20.3,27.9,32.1,18.8,31.2,36.5,38.5,-0.3,0.7,29.3,145.4,189.7,238.8,276.8,1,5,86,726,40,-36,-105.7,-33.3
71,Sessile epifauna,"Includes oysters, mussels, corals, limpets, chitons. ",6,6,0,0,0,10,60,3.4,12.3,23.2,29,13.8,27.5,36.4,39,-0.1,1.3,24.9,65.6,189.5,286.4,372.9,0,4,109,667,76.5,-67.5,-179.5,180
72,Mobile epifauna,"Includes lobsters, hermit crabs, gastropods, scallops, shrimps",83,90,0,0,0,15,100,12.3,19,26.3,30.6,23.3,30.8,36,37.8,0.1,1.5,25.3,110.6,170.2,244.4,299.3,2,10,166,408,36.3,-5.1,-71.9,-9.1
73,Zooplankton,,2,2,0,0,2,11,20,0.5,20,28.4,32.6,26.3,33.6,36.4,38.5,-0.6,0.4,14.7,73.3,146.5,249.2,358.8,1,20,310,971,NA,NA,NA,NA
74,Infauna,,15,17,0,9,18,52,108,8.6,16.3,24.8,30,18.5,27.6,36,38.1,0.3,1.9,25.5,83.2,183.4,266.8,323.1,1,11,106,330,50.3,24.5,-94.5,-5.3
75,Algae,,1,1,0,0,0,11,20,-1.7,6.9,18.2,27.2,24.8,29.4,35,38.3,0.6,6.2,62.9,7.3,48.4,298.3,335,0,4,49,594,NA,NA,NA,NA
76,Seagrass,,4,4,0,0,0,3,10,19.8,21.4,25.6,29.4,28.1,35.3,36.9,38.2,-0.5,0.5,11.2,143.2,179.2,227.5,275.8,1,7,60,167,NA,NA,NA,NA
78,Detritus,,1,1,1,0,99,352,800,2.6,12.1,22,28.2,29.6,33.2,37.8,39.3,-0.5,0.5,10.5,131.4,189.4,269.9,358.8,5,21,758,1499,55,-26,NA,NA
